model,releaseDate,maxResolution,effectivePixels,normalFocusRange,weight,price
Casio Exilim EX-S600,2005,2816.0,6.0,40.0,155.0,249.0
Casio Exilim EX-S600d,2006,2816.0,6.0,40.0,155.0,249.0
Casio Exilim EX-S880,2007,3264.0,8.0,50.0,138.0,249.0
Casio Exilim EX-V7,2007,3072.0,7.0,30.0,190.0,299.0
Casio Exilim EX-V8,2007,3264.0,8.0,40.0,199.0,299.0
Casio Exilim EX-Z10,2005,2560.0,5.0,40.0,154.0,329.0
Casio Exilim EX-Z1000,2006,3648.0,10.0,40.0,185.0,329.0
Casio Exilim EX-Z1050,2007,3648.0,10.0,40.0,165.0,329.0
Casio Exilim EX-Z1080,2007,3648.0,10.0,40.0,165.0,329.0
Casio Exilim EX-Z110,2005,2816.0,6.0,40.0,151.0,329.0
Casio Exilim EX-Z120,2005,3072.0,7.0,50.0,154.0,329.0
Casio Exilim EX-Z1200 SR,2007,4000.0,12.0,40.0,162.0,329.0
Casio Exilim EX-Z3,2003,2048.0,3.0,40.0,170.0,329.0
Casio Exilim EX-Z30,2004,2048.0,3.0,40.0,150.0,329.0
Casio Exilim EX-Z4,2003,2304.0,4.0,40.0,170.0,329.0
Casio Exilim EX-Z40,2004,2304.0,4.0,40.0,150.0,329.0
Casio Exilim EX-Z5,2006,2560.0,4.0,40.0,160.0,329.0
Casio Exilim EX-Z50,2004,2560.0,5.0,50.0,171.0,329.0
Casio Exilim EX-Z500,2005,2560.0,5.0,40.0,127.0,329.0
Casio Exilim EX-Z55,2004,2560.0,5.0,50.0,180.0,329.0
Casio Exilim EX-Z57,2005,2560.0,4.0,40.0,175.0,199.0
Casio Exilim EX-Z60,2006,2816.0,6.0,40.0,148.0,329.0
Casio Exilim EX-Z70,2006,3072.0,7.0,40.0,140.0,199.0
Casio Exilim EX-Z700,2006,3072.0,7.0,40.0,154.0,329.0
Casio Exilim EX-Z75,2007,3072.0,7.0,40.0,156.0,199.0
Casio Exilim EX-Z750,2005,3072.0,7.0,40.0,165.0,329.0
Casio Exilim EX-Z77,2007,3072.0,7.0,40.0,128.0,199.0
Casio Exilim EX-S770,2006,3072.0,7.0,40.0,176.0,249.0
Casio Exilim EX-Z850,2006,3264.0,8.0,40.0,185.0,249.0
Casio GV-10,2001,1280.0,1.0,60.0,320.0,249.0
Casio GV-20,2002,1600.0,1.0,60.0,320.0,249.0
Casio QV-2000UX,1999,1600.0,1.0,50.0,320.0,249.0
Casio QV-2100,2001,1600.0,1.0,80.0,260.0,249.0
Casio QV-2300UX,2000,1600.0,1.0,10.0,245.0,249.0
Casio QV-2400UX,2001,1600.0,1.0,10.0,245.0,249.0
Casio QV-2800UX,2000,1600.0,1.0,40.0,295.0,249.0
Casio QV-2900UX,2001,1600.0,1.0,40.0,295.0,249.0
Casio QV-3EX,2000,2048.0,3.0,50.0,245.0,249.0
Casio QV-300,1996,640.0,0.0,60.0,290.0,249.0
Casio QV-3000EX,2000,2048.0,3.0,30.0,360.0,249.0
Casio QV-3500EX,2001,2048.0,3.0,30.0,360.0,249.0
Casio QV-4000,2001,2240.0,3.0,30.0,420.0,249.0
Casio QV-5000SX,1998,1280.0,1.0,30.0,320.0,249.0
Casio QV-5500SX,1999,1280.0,1.0,30.0,320.0,249.0
Casio QV-5700,2002,2560.0,4.0,30.0,420.0,249.0
Casio QV-700,1997,640.0,0.0,70.0,290.0,249.0
Casio QV-7000SX,1998,1280.0,1.0,23.0,320.0,249.0
Casio QV-770,1998,640.0,0.0,70.0,300.0,249.0
Casio QV-8000SX,1999,1280.0,1.0,40.0,320.0,249.0
Casio QV-R3,2002,2048.0,3.0,40.0,240.0,249.0
Casio QV-R4,2002,2304.0,4.0,40.0,240.0,249.0
Casio QV-R40,2003,2304.0,4.0,60.0,210.0,249.0
Casio QV-R41,2004,2304.0,3.0,60.0,198.0,249.0
Casio QV-R51,2004,2560.0,4.0,60.0,210.0,249.0
Casio QV-R61,2004,2816.0,6.0,70.0,218.0,249.0
Casio QV-R62,2004,2816.0,6.0,70.0,218.0,249.0
Contax N Digital,2000,3040.0,6.0,0.0,0.0,549.0
Contax TVS Digital,2002,2560.0,4.0,60.0,260.0,549.0
Epson PhotoPC 800,1999,1600.0,1.0,50.0,280.0,229.0
Epson PhotoPC 850 Zoom,1999,1600.0,1.0,0.0,0.0,229.0
Epson PhotoPC L-500V,2004,2560.0,4.0,50.0,200.0,159.0
Epson PhotoPC 3000 Zoom,2000,2048.0,3.0,50.0,360.0,399.0
Epson PhotoPC 3100 Zoom,2001,2048.0,3.0,50.0,360.0,399.0
Epson PhotoPC 500,1997,640.0,0.0,60.0,320.0,229.0
Epson PhotoPC 550,1997,640.0,0.0,60.0,170.0,229.0
Epson PhotoPC 600,1997,1024.0,0.0,50.0,270.0,229.0
Epson PhotoPC 650,1999,1152.0,0.0,60.0,400.0,229.0
Epson PhotoPC 700,1998,1280.0,1.0,50.0,0.0,229.0
Epson PhotoPC 750 Zoom,1998,1280.0,1.0,80.0,0.0,229.0
Epson PhotoPC L-300,2003,2048.0,3.0,50.0,285.0,399.0
Epson PhotoPC L-400,2003,2304.0,4.0,50.0,285.0,129.0
Epson PhotoPC L-410,2004,2304.0,4.0,50.0,203.0,129.0
Epson R-D1,2004,3008.0,6.0,0.0,620.0,4499.0
Fujifilm FinePix 40i,2000,2400.0,2.0,50.0,200.0,169.0
Fujifilm FinePix 50i,2001,2400.0,2.0,50.0,200.0,169.0
Fujifilm DS-260HD,1999,1280.0,1.0,90.0,700.0,169.0
Fujifilm DS-300,1997,1280.0,1.0,20.0,700.0,169.0
Fujifilm FinePix 1300,2000,1280.0,1.0,80.0,240.0,169.0
Fujifilm FinePix 2300,2001,1600.0,1.0,80.0,240.0,169.0
