model,releaseDate,maxResolution,effectivePixels,normalFocusRange,weight,price
Pentax Optio 50,2005,2560.0,4.0,50.0,180.0,149.0
Pentax Optio 550,2003,2592.0,5.0,60.0,250.0,149.0
Pentax Optio 555,2003,2592.0,5.0,60.0,250.0,149.0
Pentax Optio 60,2005,2848.0,6.0,50.0,200.0,149.0
Pentax Optio 750Z,2004,3056.0,7.0,60.0,255.0,149.0
Pentax Optio A10,2006,3264.0,8.0,35.0,145.0,249.0
Pentax Optio A20,2006,3648.0,10.0,35.0,145.0,149.0
Pentax Optio A30,2007,3648.0,10.0,35.0,145.0,269.0
Pentax Optio E10,2006,2816.0,6.0,50.0,180.0,149.0
Pentax Optio E20,2006,2816.0,6.0,50.0,180.0,149.0
Pentax Optio E30,2007,3072.0,7.0,50.0,190.0,149.0
Pentax Optio E40,2007,3264.0,8.0,40.0,175.0,149.0
Pentax Optio M10,2006,2816.0,6.0,70.0,170.0,249.0
Pentax Optio M20,2006,3072.0,7.0,40.0,180.0,149.0
Pentax Optio M30,2007,3072.0,7.0,40.0,120.0,269.0
Pentax Optio M40,2007,3264.0,8.0,40.0,136.0,149.0
Pentax Optio MX4,2004,2304.0,4.0,40.0,375.0,149.0
Pentax Optio S,2003,2048.0,3.0,40.0,115.0,149.0
Pentax Optio S10,2007,3648.0,10.0,35.0,116.0,249.0
Pentax Optio S30,2004,2048.0,3.0,40.0,175.0,269.0
Pentax Optio S4,2003,2304.0,4.0,40.0,115.0,149.0
Pentax Optio S40,2004,2304.0,4.0,40.0,175.0,149.0
Pentax Optio S45,2005,2304.0,4.0,40.0,155.0,149.0
Pentax Optio S4i,2004,2304.0,4.0,40.0,120.0,149.0
Pentax Optio S50,2004,2560.0,5.0,40.0,180.0,149.0
Pentax Optio S55,2005,2560.0,5.0,40.0,155.0,149.0
Pentax Optio S5i,2004,2560.0,4.0,40.0,120.0,149.0
Pentax Optio S5n,2005,2560.0,4.0,40.0,120.0,149.0
Pentax Optio S5z,2005,2560.0,5.0,40.0,120.0,149.0
Pentax Optio S6,2005,2816.0,6.0,40.0,120.0,149.0
Pentax Optio S60,2005,2816.0,6.0,40.0,135.0,149.0
Pentax Optio S7,2006,3072.0,7.0,40.0,120.0,149.0
Pentax Optio SV,2004,2560.0,5.0,60.0,165.0,149.0
Pentax Optio SVi,2005,2560.0,5.0,60.0,165.0,149.0
Pentax Optio T10,2006,2816.0,6.0,40.0,155.0,249.0
Pentax Optio T20,2006,3072.0,7.0,40.0,155.0,149.0
Pentax Optio T30,2007,3072.0,7.0,40.0,155.0,269.0
Pentax Optio W10,2006,2816.0,6.0,40.0,160.0,269.0
Pentax Optio W20,2006,3072.0,7.0,40.0,150.0,269.0
Pentax Optio W30,2007,3072.0,7.0,40.0,155.0,269.0
Pentax Optio WP,2005,2560.0,4.0,40.0,135.0,269.0
Pentax Optio WPi,2005,2816.0,6.0,40.0,135.0,269.0
Pentax Optio X,2004,2560.0,5.0,40.0,145.0,149.0
Pentax Optio Z10,2007,3264.0,8.0,40.0,0.0,249.0
Ricoh Caplio 500G,2006,3264.0,8.0,30.0,450.0,229.0
Ricoh Caplio R1V,2005,2560.0,4.0,30.0,195.0,99.0
Ricoh Caplio R2,2005,2560.0,4.0,30.0,195.0,99.0
Ricoh Caplio R3,2005,2560.0,4.0,30.0,165.0,99.0
Ricoh Caplio R30,2006,2560.0,4.0,30.0,180.0,99.0
Ricoh Caplio R4,2006,2816.0,6.0,30.0,165.0,99.0
Ricoh Caplio R40,2006,2816.0,6.0,30.0,165.0,199.0
Ricoh Caplio R5,2006,3072.0,7.0,30.0,165.0,99.0
Ricoh Caplio R6,2007,3072.0,7.0,30.0,165.0,99.0
Ricoh Caplio R7,2007,3264.0,8.0,30.0,135.0,99.0
Ricoh Caplio RR530,2005,2560.0,4.0,30.0,190.0,399.0
Ricoh Caplio RR630,2006,2816.0,6.0,50.0,200.0,399.0
Ricoh Caplio G3,2003,2048.0,3.0,30.0,230.0,99.0
Ricoh GR Digital,2005,3264.0,8.0,30.0,200.0,4999.0
Ricoh Caplio GX100,2007,3648.0,10.0,30.0,260.0,399.0
Ricoh Caplio GX8,2005,3264.0,8.0,30.0,260.0,99.0
Ricoh RDC-200G,2000,1792.0,2.0,4.0,500.0,399.0
Ricoh RDC-4300,1998,1280.0,1.0,40.0,320.0,149.0
Ricoh RDC-5000,1999,1792.0,2.0,40.0,340.0,149.0
Ricoh RDC-5300,1999,1792.0,2.0,40.0,380.0,177.0
Ricoh RDC-6000,2000,1600.0,1.0,30.0,300.0,149.0
Ricoh RDC-7,2000,2048.0,3.0,24.0,320.0,1699.0
Ricoh RDC-i500,2001,2048.0,3.0,24.0,320.0,4999.0
Ricoh RDC-i700,2000,2048.0,3.0,24.0,450.0,149.0
Ricoh Caplio RR1,2001,2272.0,3.0,24.0,340.0,99.0
Ricoh Caplio RX,2004,2048.0,3.0,30.0,215.0,99.0
Samsung Digimax A50,2005,2592.0,5.0,80.0,185.0,229.0
Samsung Digimax A502,2005,2592.0,5.0,100.0,175.0,229.0
Samsung Digimax A55W,2005,2592.0,5.0,60.0,185.0,229.0
Samsung Digimax 130,2002,1280.0,1.0,80.0,250.0,299.0
Samsung Digimax 202,2004,1600.0,1.0,120.0,135.0,229.0
Samsung Digimax 230,2002,1600.0,1.0,80.0,0.0,229.0
Samsung Digimax 250,2004,1600.0,1.0,80.0,210.0,229.0
Samsung Digimax 301,2004,2048.0,3.0,10.0,137.0,299.0
Samsung Digimax 350SE,2002,2048.0,3.0,80.0,320.0,229.0
Samsung Digimax 370,2004,2048.0,3.0,80.0,157.0,229.0
Samsung Digimax 401,2004,2048.0,4.0,10.0,137.0,299.0
Samsung Digimax 410,2002,2272.0,3.0,80.0,340.0,229.0
Samsung Digimax 430,2004,2272.0,3.0,80.0,210.0,229.0
Samsung Digimax 530,2004,2592.0,5.0,80.0,195.0,229.0
Samsung Digimax V4,2003,2272.0,3.0,80.0,210.0,229.0
Samsung GX-10,2006,3872.0,10.0,0.0,793.0,199.0
Samsung GX-1L,2006,3008.0,6.0,0.0,570.0,299.0
Samsung GX-1S,2006,3008.0,6.0,0.0,605.0,299.0
Samsung Digimax i5,2005,2595.0,5.0,50.0,155.0,229.0
Samsung Digimax i6,2006,2816.0,6.0,50.0,0.0,229.0
Samsung i7,2007,3072.0,7.0,80.0,210.0,119.0
Samsung i70,2007,3072.0,7.0,80.0,180.0,199.0
Samsung i85,2007,3264.0,8.0,80.0,0.0,149.0
Samsung L83T,2007,3264.0,8.0,80.0,160.0,229.0
Samsung L700,2007,3072.0,7.0,80.0,170.0,199.0
Samsung L73,2007,3072.0,7.0,80.0,180.0,119.0
Samsung L730,2007,3264.0,7.0,80.0,183.0,99.0
Samsung L74 Wide,2007,3072.0,7.0,80.0,210.0,119.0
Samsung L77,2007,3072.0,7.0,80.0,0.0,119.0
Samsung L830,2007,3264.0,8.0,80.0,183.0,99.0
Samsung NV10,2006,3648.0,10.0,80.0,190.0,229.0
Samsung NV11,2007,3648.0,10.0,80.0,240.0,229.0
Samsung NV15,2007,3648.0,10.0,80.0,0.0,229.0
Samsung NV20,2007,4000.0,12.0,80.0,0.0,229.0
Samsung NV3,2006,3072.0,7.0,80.0,155.0,229.0
Samsung NV7 OPS,2006,3072.0,7.0,80.0,290.0,229.0
Samsung NV8,2007,3264.0,8.0,80.0,0.0,229.0
Samsung Pro815,2005,3264.0,8.0,10.0,910.0,299.0
Samsung S1030,2007,3648.0,10.0,80.0,220.0,199.0
Samsung S1050,2007,3648.0,10.0,80.0,254.0,199.0
Samsung S630,2007,2816.0,6.0,80.0,186.0,99.0
Samsung S730,2007,3072.0,7.0,80.0,186.0,99.0
Samsung S830,2007,3264.0,8.0,80.0,220.0,99.0
Samsung S85,2007,3264.0,8.0,80.0,204.0,149.0
Samsung S850,2007,3264.0,8.0,80.0,222.0,149.0
Samsung Digimax U-CA 3,2003,2048.0,3.0,80.0,134.0,229.0
Samsung Digimax U-CA 4,2004,2272.0,4.0,80.0,169.0,229.0
Samsung Digimax U-CA 401,2004,2272.0,3.0,60.0,165.0,229.0
Samsung Digimax V40,2004,2272.0,3.0,80.0,230.0,229.0
Samsung Digimax V5,2004,2592.0,5.0,80.0,180.0,229.0
Samsung Digimax V50,2004,2592.0,5.0,80.0,230.0,229.0
Samsung Digimax V6,2004,2816.0,6.0,80.0,220.0,229.0
Samsung Digimax V700,2005,3072.0,7.0,80.0,220.0,229.0
Samsung Digimax V800,2005,3264.0,8.0,80.0,220.0,229.0
Sanyo DSC-AZ1,2001,2288.0,3.0,50.0,340.0,429.0
Sanyo DSC-J1,2003,2048.0,3.0,20.0,205.0,429.0
Sanyo DSC-S1,2003,2048.0,3.0,50.0,190.0,149.0
Sanyo Xacti DSC-S3,2004,2048.0,3.0,50.0,185.0,1399.0
Sanyo Xacti DSC-S4,2004,2288.0,3.0,50.0,185.0,1399.0
Sanyo DSC-MZ1,2001,1600.0,1.0,50.0,340.0,429.0
Sanyo VPC-X350,1999,1024.0,0.0,60.0,260.0,149.0
Sanyo VPC-Z400,1999,1280.0,1.0,80.0,350.0,149.0
Sigma DP1,2006,2640.0,4.0,0.0,270.0,1599.0
Sigma SD10,2003,2268.0,3.0,0.0,950.0,1599.0
Sigma SD14,2006,2640.0,4.0,0.0,750.0,19.0
Sigma SD9,2002,2268.0,3.0,0.0,950.0,19.0
Sony Mavica FD-91,1998,1024.0,0.0,80.0,950.0,1399.0
Sony Mavica CD1000,2000,1600.0,1.0,80.0,980.0,1399.0
Sony Mavica CD200,2001,1600.0,1.0,50.0,620.0,1399.0
Sony Mavica CD250,2002,1600.0,1.0,50.0,610.0,1399.0
Sony Mavica CD300,2001,2048.0,3.0,50.0,620.0,1399.0
Sony Mavica CD350,2003,2048.0,3.0,50.0,522.0,1399.0
Sony Mavica CD400,2002,2272.0,3.0,50.0,640.0,1399.0
Sony Mavica CD500,2003,2592.0,5.0,50.0,606.0,1399.0
Sony DSC-D700,1998,1344.0,1.0,20.0,900.0,149.0
Sony DSC-D770,1999,1344.0,1.0,20.0,900.0,149.0
Sony DSC-F505,1999,1600.0,1.0,80.0,475.0,149.0
Sony DSC-F505V,2000,1856.0,2.0,50.0,482.0,149.0
Sony DSC-F55,1999,1600.0,1.0,50.0,300.0,429.0
Sony DSC-F55V,2000,1856.0,2.0,25.0,280.0,429.0
Sony DSC-F707,2001,2560.0,4.0,50.0,667.0,149.0
Sony DSC-F717,2002,2560.0,4.0,50.0,659.0,149.0
Sony DSC-F828,2003,3264.0,8.0,50.0,906.0,429.0
Sony DSC-F88,2004,2592.0,5.0,50.0,202.0,429.0
Sony DSC-G1,2007,2816.0,6.0,50.0,238.0,429.0
Sony DSC-H1,2005,2592.0,5.0,50.0,591.0,429.0
Sony DSC-H2,2006,2816.0,6.0,50.0,490.0,429.0
Sony DSC-H3,2007,3264.0,8.0,50.0,264.0,429.0
Sony DSC-H5,2006,3072.0,7.0,50.0,490.0,429.0
Sony DSC-H7,2007,3264.0,8.0,50.0,405.0,429.0
Sony DSC-H9,2007,3264.0,8.0,50.0,440.0,429.0
Sony DSC-L1,2004,2304.0,4.0,12.0,152.0,429.0
Sony DSC-M1,2004,2592.0,5.0,50.0,215.0,429.0
Sony DSC-M2,2005,2592.0,5.0,50.0,240.0,399.0
Sony DSC-N1,2005,3264.0,8.0,50.0,139.0,429.0
Sony DSC-N2,2006,3264.0,10.0,50.0,139.0,399.0
Sony DSC-P1,2000,2048.0,3.0,50.0,250.0,429.0
Sony DSC-P10,2003,2592.0,5.0,50.0,206.0,149.0
Sony DSC-P100,2004,2592.0,5.0,50.0,180.0,149.0
Sony DSC-P150,2004,3072.0,7.0,50.0,180.0,149.0
Sony DSC-P2,2002,1600.0,1.0,50.0,214.0,399.0
Sony DSC-P20,2001,1216.0,1.0,60.0,230.0,399.0
Sony DSC-P200,2005,3072.0,7.0,50.0,180.0,399.0
Sony DSC-P3,2001,1920.0,2.0,25.0,194.0,429.0
Sony DSC-P30,2001,1280.0,1.0,50.0,250.0,149.0
Sony DSC-P31,2002,1600.0,1.0,10.0,231.0,429.0
Sony DSC-P32,2003,2048.0,3.0,10.0,217.0,429.0
Sony DSC-P41,2004,2272.0,3.0,10.0,180.0,429.0
Sony DSC-P5,2001,2048.0,3.0,50.0,214.0,429.0
Sony DSC-P50,2001,1600.0,1.0,50.0,250.0,149.0
Sony DSC-P51,2002,1600.0,1.0,8.0,275.0,429.0
Sony DSC-P52,2003,2048.0,3.0,8.0,280.0,429.0
Sony DSC-P7,2002,2048.0,3.0,50.0,214.0,149.0
Sony DSC-P71,2002,2048.0,3.0,50.0,284.0,149.0
Sony DSC-P72,2003,2048.0,3.0,50.0,259.0,149.0
Sony DSC-P73,2004,2272.0,3.0,50.0,243.0,149.0
Sony DSC-P8,2003,2048.0,3.0,50.0,206.0,429.0
Sony DSC-P9,2002,2272.0,3.0,50.0,206.0,429.0
Sony DSC-P92,2003,2592.0,5.0,50.0,259.0,429.0
Sony DSC-P93,2004,2592.0,5.0,50.0,236.0,429.0
Sony DSC-R1,2005,3888.0,10.0,0.0,995.0,429.0
Sony DSC-S30,2000,1280.0,1.0,25.0,370.0,149.0
Sony DSC-S40,2005,2304.0,4.0,0.0,184.0,149.0
Sony DSC-S50,2000,1600.0,1.0,25.0,370.0,149.0
Sony DSC-S60,2005,2304.0,4.0,50.0,249.0,149.0
Sony DSC-S600,2006,2816.0,6.0,12.0,180.0,149.0
Sony DSC-S650,2007,3072.0,7.0,35.0,178.0,149.0
Sony DSC-S70,2000,2048.0,3.0,25.0,420.0,149.0
Sony DSC-S700,2007,3072.0,7.0,35.0,178.0,149.0
Sony DSC-S75,2001,2048.0,3.0,50.0,444.0,149.0
Sony DSC-S800,2007,3264.0,8.0,50.0,245.0,149.0
Sony DSC-S85,2001,2272.0,3.0,50.0,444.0,149.0
Sony DSC-S90,2005,2304.0,4.0,50.0,253.0,149.0
Sony DSC-T1,2003,2592.0,5.0,25.0,180.0,399.0
Sony DSC-T10,2006,3072.0,7.0,50.0,168.0,399.0
Sony DSC-T100,2007,3264.0,8.0,50.0,197.0,399.0
Sony DSC-T11,2004,2592.0,5.0,50.0,186.0,399.0
Sony DSC-T20,2007,3264.0,8.0,50.0,197.0,399.0
Sony DSC-T200,2007,3264.0,8.0,50.0,160.0,399.0
Sony DSC-T3,2004,2592.0,5.0,50.0,186.0,399.0
Sony DSC-T30,2006,3072.0,7.0,50.0,172.0,399.0
Sony DSC-T33,2005,2592.0,5.0,50.0,150.0,399.0
Sony DSC-T5,2005,2592.0,5.0,50.0,139.0,399.0
Sony DSC-T50,2006,3072.0,7.0,50.0,170.0,399.0
Sony DSC-T7,2005,2592.0,5.0,50.0,134.0,149.0
Sony DSC-T9,2005,2816.0,6.0,50.0,185.0,429.0
Sony DSC-U10,2002,1280.0,1.0,10.0,118.0,149.0
Sony DSC-U20,2002,1632.0,2.0,10.0,118.0,399.0
Sony DSC-U30,2003,1632.0,2.0,10.0,130.0,149.0
Sony DSC-U40,2003,1632.0,2.0,10.0,130.0,149.0
Sony DSC-U50,2003,1632.0,2.0,10.0,132.0,149.0
Sony DSC-U60,2003,1632.0,2.0,10.0,200.0,149.0
Sony DSC-V1,2003,2592.0,5.0,40.0,298.0,429.0
Sony DSC-V3,2004,3072.0,7.0,40.0,390.0,429.0
Sony DSC-W1,2004,2592.0,5.0,50.0,250.0,429.0
Sony DSC-W100,2006,3264.0,8.0,50.0,192.0,149.0
Sony DSC-W200,2007,4000.0,12.0,34.0,195.0,399.0
Sony DSC-W30,2006,2816.0,6.0,50.0,153.0,149.0
Sony DSC-W35,2007,3072.0,7.0,30.0,149.0,429.0
Sony DSC-W5,2005,2592.0,5.0,50.0,250.0,429.0
Sony DSC-W50,2006,2816.0,6.0,50.0,157.0,149.0
Sony DSC-W55,2007,3072.0,7.0,30.0,147.0,429.0
Sony DSC-W7,2005,3072.0,7.0,50.0,250.0,149.0
Sony DSC-W70,2006,3072.0,7.0,50.0,157.0,149.0
Sony DSC-W80,2007,3072.0,7.0,50.0,175.0,149.0
Sony DSC-W90,2007,3254.0,8.0,50.0,175.0,429.0
Sony DSLR-A100,2006,3872.0,10.0,0.0,638.0,599.0
Sony DSLR-A700,2007,4272.0,12.0,0.0,768.0,599.0
Sony Mavica FD-100,2002,1280.0,1.0,0.0,0.0,1399.0
Sony Mavica FD-200,2002,1600.0,1.0,19.0,520.0,1399.0
Sony Mavica FD-71,1998,640.0,0.0,1.0,500.0,1399.0
Sony Mavica FD-73,1999,640.0,0.0,1.0,500.0,1399.0
Sony Mavica FD-75,2001,640.0,0.0,1.0,580.0,1399.0
Sony Mavica FD-81,1998,1024.0,0.0,1.0,580.0,1399.0
Sony Mavica FD-83,1999,1024.0,0.0,1.0,580.0,1399.0
Sony Mavica FD-85,2000,1280.0,1.0,1.0,0.0,1399.0
Sony Mavica FD-87,2001,1280.0,1.0,25.0,630.0,1399.0
Sony Mavica FD-88,1999,1280.0,1.0,4.0,600.0,1399.0
Sony Mavica FD-90,2000,1280.0,1.0,4.0,0.0,1399.0
Sony Mavica FD-92,2001,1472.0,1.0,25.0,660.0,1399.0
Sony Mavica FD-95,2000,1600.0,1.0,80.0,900.0,1399.0
Sony Mavica FD-97,2001,1600.0,1.0,25.0,990.0,1399.0
Toshiba PDR-3310,2002,2048.0,3.0,55.0,205.0,177.0
Toshiba PDR-3330,2002,2048.0,3.0,80.0,320.0,177.0
Toshiba PDR-4300,2003,2400.0,3.0,80.0,0.0,599.0
Toshiba PDR-5300,2003,2560.0,4.0,80.0,230.0,177.0
Toshiba PDR-M1,1998,1280.0,1.0,50.0,290.0,62.0
Toshiba PDR-M11,2001,1280.0,1.0,90.0,240.0,62.0
Toshiba PDR-M21,2001,1600.0,1.0,50.0,240.0,177.0
Toshiba PDR-M25,2001,1729.0,2.0,40.0,320.0,177.0
Toshiba PDR-M3,1999,1280.0,1.0,90.0,380.0,62.0
Toshiba PDR-M4,1999,1600.0,1.0,50.0,290.0,62.0
Toshiba PDR-M5,1999,1600.0,1.0,90.0,350.0,62.0
Toshiba PDR-M60,2000,1792.0,2.0,50.0,320.0,449.0
Toshiba PDR-M61,2001,1792.0,2.0,50.0,310.0,62.0
Toshiba PDR-M65,2001,2048.0,3.0,10.0,320.0,62.0
Toshiba PDR-M70,2000,2048.0,3.0,80.0,390.0,62.0
Toshiba PDR-M71,2001,2048.0,3.0,80.0,340.0,62.0
Toshiba PDR-M81,2001,2400.0,3.0,80.0,340.0,62.0
Toshiba PDR-T10,2002,1600.0,1.0,40.0,180.0,129.0
